Time,Ego_Speed,Fused_Distance,Relative_Speed,Lead_Speed,Ego_Accel,Lead_Accel
4.9,16.5138,28.2318,-0.7015,15.8123,-0.5623,2.046
5.0,16.38,28.1513,-0.8055,15.5745,-1.3377,-2.3782
5.1,16.38,28.1036,-0.4761,15.9039,0.0,3.294
5.2,16.3503,28.0715,-0.3218,16.0285,-0.2968,1.2461
5.3,16.3,28.0005,-0.7097,15.5903,-0.5032,-4.3815
5.4,16.3,27.9858,-0.1463,16.1537,0.0,5.6333
5.5,16.2357,27.9098,-0.7605,15.4752,-0.6431,-6.7842
5.6,16.2022,27.8822,-0.2758,15.9264,-0.3346,4.5117
5.7,16.1746,27.8392,-0.4303,15.7443,-0.2762,-1.8208
5.8,16.11,27.8033,-0.3586,15.7514,-0.646,0.0705
5.9,16.0335,27.7824,-0.2098,15.8237,-0.7647,0.7235
6.0,16.0,27.7309,-0.5144,15.4856,-0.3353,-3.3816
6.1,16.0,27.7257,-0.0519,15.9481,0.0,4.6249
6.2,15.9981,27.6981,-0.2762,15.7219,-0.019,-2.2615
6.3,15.97,27.6748,-0.233,15.737,-0.281,0.1509
6.4,15.95,27.6553,-0.1948,15.7552,-0.2,0.1819
6.5,15.95,27.6224,-0.3293,15.6207,0.0,-1.3449
6.6,15.92,27.6,-0.2238,15.6962,-0.3,0.7551
6.7,15.91,27.5945,-0.0548,15.8552,-0.1,1.5905
6.8,15.91,27.59,-0.0452,15.8648,0.0,0.0952
6.9,15.9061,27.57,-0.2,15.7061,-0.0387,-1.5863
7.0,15.8671,27.5284,-0.4161,15.451,-0.3903,-2.5516
7.1,15.86,27.5,-0.2839,15.5761,-0.071,1.2516
7.2,15.84,27.4854,-0.1463,15.6937,-0.2,1.1753
7.3,15.82,27.4359,-0.4951,15.3249,-0.2,-3.6878
7.4,15.77,27.418,-0.178,15.592,-0.5,2.6707
7.5,15.77,27.3877,-0.3036,15.4664,0.0,-1.2552
7.6,15.77,27.3788,-0.0888,15.6812,0.0,2.1474
7.7,15.77,27.3534,-0.2541,15.5159,0.0,-1.6522
7.8,15.74,27.306,-0.474,15.266,-0.3,-2.4999
7.9,15.72,27.2712,-0.3485,15.3715,-0.2,1.0558
8.0,15.7032,27.2497,-0.2148,15.4885,-0.1677,1.1692
8.1,15.68,27.22,-0.2968,15.3832,-0.2323,-1.0524
